0,1,3
0,2,1
0,3,1
1,0,1
1,2,1
1,4,1
1,9,4
2,0,1
2,1,1
2,3,1
2,4,2
2,5,1
3,0,1
3,2,1
3,5,2
3,6,2
3,7,1
4,1,1
4,2,2
4,5,1
4,9,1
5,2,1
5,3,2
5,4,1
5,6,1
5,9,3
5,10,1
5,12,3
6,3,2
6,5,1
6,7,1
6,8,2
6,12,2
6,13,4
6,14,3
7,3,1
7,6,1
7,8,1
8,6,2
8,7,1
8,14,1
8,15,3
9,1,4
9,4,1
9,5,3
9,10,1
9,11,1
10,5,1
10,9,1
10,11,1
10,12,2
11,9,1
11,10,1
11,12,1
11,16,1
12,5,3
12,6,2
12,10,2
12,11,1
12,13,2
12,16,1
13,6,4
13,12,2
13,14,1
13,15,2
13,16,2
13,17,1
14,6,3
14,8,2
14,13,1
14,15,1
15,8,3
15,13,2
15,14,1
15,17,4
16,11,1
16,12,1
16,13,3
16,17,1
17,13,1
17,15,4
17,16,1
